id_convocatoria,cui
1014321,2604497
1014354,2620356
1014381,2588313
1014409,2571589
1014427,2564279
1014435,2511053
1014440,2189473
1014449,2635456
1014464,2621773
1014465,2161813
1014512,2644332
1014526,2613677
1014544,2545867
1014560,2545428
1014594,2637943
1014614,2437707
1014691,2191976
1014695,2603952
1014702,2412677
1014704,2329768
1014739,2613600
1014751,2527257
1014772,1008233
1014779,2535690
1014815,2514714
1014846,2458277
1014857,2329788
1014888,2328944
1014926,2586229
1015023,2622065
1015031,2577480
1015043,2237547
1015078,2284371
1015115,2609127
1015128,2525850
1015149,2587397
1015163,2566614
1015169,2473751
1015225,2577356
1015240,2378756
1015249,2480403
1015292,2434687
1015302,2153794
1015305,2496748
1015311,2599869
1015313,2498893
1015334,2607701
1015341,2189060
1015360,2556979
1015369,2606037
1015375,2525378
1015380,2638565
1015407,2254348
1015432,2574290
1015483,2599904
1015502,2606800
1015519,2467279
1015528,2449026
1015533,2539848
1015542,2546561
1015549,2569361
1015594,2552126
1015663,2525485
1015676,2513655
1015717,2625284
1015741,2618527
1015743,2618442
1015750,2639804
1015756,2352920
1015770,"1093718,2615840"
1015780,2623840
1015815,2626295
1015856,2533582
1015863,2628035
1015882,2627950
1015904,2623921
1015912,2234790
1015935,2475716
1015951,2586292
1016075,2547787
1016097,2403925
1016124,2471620
1016140,2512007
1016148,2467884
1016191,2598467
1016207,2629327
1016228,2603481
1016231,2404239
1016238,2332660
1016255,2337768
1016257,2586027
1016277,2633905
1016278,2620409
1016289,2517157
1016293,2614863
1016294,2604607
1016296,2617547
1016297,2624613
1016304,2539306
1016324,2193204
1016325,2470873
1016332,2471009
1016466,2579121
1016527,2576941
1016544,2612363
1016550,2520395
1016589,2326588
1016629,2598546
1016653,2238318
1016663,2557536
1016675,2597141
1016701,2615325
1016731,2472675
1016746,2619771
1016794,2183179
1016801,2541727
1016811,2521950
1016829,2601972
1016864,2571272
1016867,2541622
1016874,2546232
1016875,2343199
1017015,2635894
1017032,2247695
1017136,2606586
1017160,2358266
1017166,2396386
1017183,2570777
1017184,2623288
1017186,2487112
1017199,2620646
1017226,2632176
1017261,2585774
1017296,2555638
1017304,2403925
1017315,2278487
1017316,2586762
1017321,2555638
1017346,2597482
1017384,2566068
1017433,2615442
1017461,2634465
1017477,2412415
1017499,"2456951,2602927,2602939,2604009"
1017518,2573899
1017535,2498836
1017540,2380557
1017541,2474776
1017546,2197998
1017567,2480369
1017570,2524144
1017595,2567097
1017622,"2392064,2601452"
1017631,2502606
1017697,2495993
1017703,2605860
1017704,2556614
1017709,2529707
1017720,2605860
1017740,2548334
1017741,2301404
1017746,2561513
1017751,2547077
1017776,2601671
1017777,2270682
1017778,2616221
1017805,2078579
1017815,2621773
1017861,2596181
1017865,2263802
1017912,2612774
1017918,2575630
1017925,2611833
1017939,2601606
1017963,2578827
1017964,2477983
1017971,2484708
1017988,2565676
1018004,2547787
1018017,"2302938,2302939"
1018027,2177726
1018042,2491462
1018051,2094975
1018068,2558058
1018069,2552319
1018118,2634297
1018124,2624982
1018128,2566237
1018154,2485866
1018194,2341773
1018205,2524059
1018206,2561928
1018210,2597841
1018296,2638682
1018347,2496951
1018358,2550708
1018362,2607130
1018366,2623991
1018368,2469953
1018414,2436081
1018430,2507785
1018437,2634960
1018456,2594049
1018457,2078579
1018461,2434558
1018476,2574435
1018477,2625657
1018513,2077997
1018517,2492991
1018534,2506009
1018556,2574254
1018560,2601141
1018582,2374996
1018587,2127740
1018619,2600522
1018628,2593846
1018661,2606749
1018662,2545477
1018667,2558322
1018711,2586489
1018729,2629409
1018742,2557776
1018744,2576491
1018773,2509676
1018830,2476726
1018834,2576015
1018891,2466588
1018896,2443663
1018902,2618549
1018958,2529901
1018963,2343199
1019021,2484385
1019022,2617654
1019023,2617863
1019024,2536341
1019030,2337801
1019040,2616786
1019047,2488318
1019102,2557050
1019118,2358375
1019167,2521936
1019199,2585993
1019254,2565125
1019308,2380885
1019321,2352289
1019325,2621600
1019338,2605141
1019357,2550882
1019404,2605506
1019405,2572391
1019440,2587633
1019448,2529457
1019472,2577077
1019479,2610655
1019484,2491736
1019506,2613817
1019508,2494204
1019513,2598059
1019522,2287700
1019535,2343199
1019564,2352901
1019568,2509015
1019570,2226795
1019580,2436830
1019586,2551821
1019587,2594212
1019589,2539434
1019599,2200256
1019693,2608944
1019703,2592752
1019707,2468668
1019725,2625146
1019742,2443663
1019816,"0204495,2506103"
1019865,2608403
1019883,2603136
1019900,2332660
1019907,2576986
1019912,2608933
1019913,2448263
1019916,2603136
1019921,2559483
1019923,2482651
1019926,2624959
1019928,2566483
1019946,2260735
1019956,2489330
1019971,2592932
1019994,2606586
1020009,2354876
1020022,2234473
1020028,2597812
1020040,2611841
1020043,2531427
1020077,2503661
1020081,2503661
1020106,2615605
1020110,2619826
1020114,2586335
1020157,2595463
